name,coreName,country,methodology,levels
"Identificar objetos, comportamientos y situaciones de riesgo que pueden atentar contra su seguridad, bienestar y el de los demás.",Convivencia y Ciudadanía,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer acciones correctas e incorrectas para la convivencia armónica del grupo, que se presentan en diferentes situaciones cotidianas y juegos",Convivencia y Ciudadanía,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Manifestar interés por algunos de sus derechos, tales como: ser escuchados, tener un nombre, jugar, entre otros.",Convivencia y Ciudadanía,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Manifestar interés para interactuar con niños y niñas, reconociendo la diversidad de sus características y formas de vida (costumbres, fisonomía, lingüística, entre otras).",Convivencia y Ciudadanía,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer situaciones en que se siente cómodo corporalmente, manifestando al adulto su bienestar y su interés por mantener estas condiciones",Corporalidad y movimiento,cl,,Nivel Medio Menor
"Reconocer las principales partes, características físicas de su cuerpo y sus funciones en situaciones cotidianas y de juego.",Corporalidad y movimiento,cl,,Nivel Medio Menor
"Adquirir control y equilibrio en movimientos, posturas y desplazamientos que realiza en diferentes direcciones y en variadas situaciones cotidianas y juegos, con y sin implementos",Corporalidad y movimiento,cl,,Nivel Medio Menor
"Expresarse oralmente, empleando estructuras oracionales simples y respetando patrones gramaticales básicos, en distintas situaciones cotidianas y juegos.",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Comprender mensajes simples como instrucciones explícitas, explicaciones y preguntas relativas a objetos, personas, acciones, tiempo y lugar, identificando la intencionalidad comunicativa de diversos interlocutores.",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Identificar algunos atributos de los sonidos de diferentes fuentes sonoras como intensidad (fuerte/suave), velocidad (rápido/lento).",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Incorporar progresivamente nuevas palabras, al comunicar oralmente temas variados de su interés e información básica, en distintas situaciones cotidianas.",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Manifestar interés por descubrir el contenido de textos de diferentes formatos, a través de la manipulación, la exploración, la escucha atenta y la formulación de preguntas",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Comprender a partir de la escucha atenta, contenidos explícitos de textos literarios y no literarios, reconociendo ideas centrales, señalando preferencias, realizando sencillas descripciones, preguntando sobre el contenido.",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Reconocer progresivamente el significado de diversas imágenes, logos, símbolos de su entorno cotidiano, en diversos soportes (incluye uso de TICs).",Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
Producir sus propios signos gráficos en situaciones lúdicas.,Lenguaje Verbal,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
"Manifestar interés por diversas producciones artísticas (arquitectura, modelado, piezas musicales, pintura, dibujos, títeres, obras de teatro, danzas, entre otras), describiendo algunas características",Lenguaje Artístico,cl,,"Nivel Medio Mayor, Nivel Medio Menor"
